geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
USA	San Diego CA		USA	California	San Diego	USA	San Diego CA	
USA	Illinois, Bond		USA	Illinois	Bond	USA	Illinois	Bond County
USA	Schoharie Co., NY		USA	New York	Schoharie Co.	USA	Schoharie Co.	NY
USA	Clinton Co., NY		USA	New York	Clinton Co.	USA	Clinton Co.	NY
USA	New York Co., NY		USA	New York	New York Co.	USA	New York Co.	NY
USA	Washington Co., NY		USA	New York	Washington Co.	USA	Washington Co.	NY
USA	Greene Co., NY		USA	New York	Greene Co.	USA	Greene Co.	NY
USA	Arizona		USA	Arizona		USA	Arizona	
USA	North Dakota		USA	North Dakota		USA	North Dakota	
USA	TX, Harris		USA	Texas	Harris	USA	TX	Harris
USA	Ontario CA		USA	California	Ontario	USA	Ontario CA	
USA	CO, Fort Collins (80526)		USA	Colorado	Fort Collins (80526)	USA	CO	Fort Collins (80526)
USA	CO, Fort Collins (80525)		USA	Colorado	Fort Collins (80525)	USA	CO	Fort Collins (80525)
USA	CO, Larimer County		USA	Colorado	Larimer County	USA	CO	Larimer County
USA	CO, Fort Collins		USA	Colorado	Fort Collins	USA	CO	Fort Collins
USA	Sanborn MN		USA	Minnesota	Sanborn	USA	Sanborn MN	
USA	zip code 79925		USA		zip code 79925	USA	zip code 79925	
USA	zip code 90814		USA		zip code 90814	USA	zip code 90814	
USA	zip code 67030		USA		zip code 67030	USA	zip code 67030	
USA	Kings Co., NY		USA	New York	Kings Co.	USA	Kings Co.	NY
USA	zip code 88044		USA		zip code 88044	USA	zip code 88044	
USA	Scott, Minnesota		USA	Minnesota	Scott	USA	Scott	Minnesota
USA	Cass, Minnesota		USA	Minnesota	Cass	USA	Cass	Minnesota
USA	zip code 68601		USA		zip code 68601	USA	zip code 68601	
USA	Lewis Co., NY		USA	New York	Lewis Co.	USA	Lewis Co.	NY
USA	Illinois, Winnebago		USA	Illinois	Winnebago	USA	Illinois	Winnebago County IL
USA	Schuyler Co., NY		USA	New York	Schuyler Co.	USA	Schuyler Co.	NY
USA	Sherburne, Minnesota		USA	Minnesota	Sherburne	USA	Sherburne	Minnesota
USA	Niagara Co., NY		USA	New York	Niagara Co.	USA	Niagara Co.	NY
USA	Tulare, California		USA	California	Tulare	USA	Tulare	California
USA	Lakewood,California		USA	California	Lakewood	USA	Lakewood	California
USA	Monroe Co., NY		USA	New York	Monroe Co.	USA	Monroe Co.	NY
USA	Illinois, Lee		USA	Illinois	Lee	USA	Illinois	Lee County IL
USA	zip code 48150		USA		zip code 48150	USA	zip code 48150	
USA	Otsego Co., NY		USA	New York	Otsego Co.	USA	Otsego Co.	NY
USA	St. Louis, Minnesota		USA	Minnesota	St. Louis	USA	St. Louis	Minnesota
USA	zip code 85652		USA		zip code 85652	USA	zip code 85652	
USA	Calcasieu, Louisiana		USA	Louisiana	Calcasieu	USA	Calcasieu	Louisiana
USA	Shafter,California		USA	California	Shafter	USA	Shafter	California
USA	zip code 68803		USA		zip code 68803	USA	zip code 68803	
USA	St. Joseph County, IN		USA	Indiana	St. Joseph County	USA	St. Joseph County	IN
USA	Solano, California		USA	California	Solano	USA	Solano	California
USA	zip code 90242		USA		zip code 90242	USA	zip code 90242	
USA	Anoka, Minnesota		USA	Minnesota	Anoka	USA	Anoka	Minnesota
USA	Mower, Minnesota		USA	Minnesota	Mower	USA	Mower	Minnesota
USA	Illinois, Lake		USA	Illinois	Lake	USA	Illinois	Lake County IL
USA	Bronx Co., NY		USA	New York	Bronx Co.	USA	Bronx Co.	NY
USA	Hennepin, Minnesota		USA	Minnesota	Hennepin	USA	Hennepin	Minnesota
USA	Washington, Minnesota		USA	Washington	Minnesota	USA	Washington	Minnesota
USA	Illinois, Mchenry		USA	Illinois	Mchenry	USA	Illinois	McHenry County IL
USA	Ramsey, Minnesota		USA	Minnesota	Ramsey	USA	Ramsey	Minnesota
USA	Illinois, Kendall		USA	Illinois	Kendall	USA	Illinois	Kendall County IL
USA	Dutchess Co., NY		USA	New York	Dutchess Co.	USA	Dutchess Co.	NY
USA	Putnam Co., NY		USA	New York	Putnam Co.	USA	Putnam Co.	NY
USA	GA, Dekalb County		USA	Georgia	Dekalb County	USA	GA	Dekalb County
USA	Long_Beach,California		USA	California	Long_Beach	USA	Long_Beach	California
USA	zip code 68847		USA		zip code 68847	USA	zip code 68847	
USA	Broome Co., NY		USA	New York	Broome Co.	USA	Broome Co.	NY
USA	zip code 68701		USA		zip code 68701	USA	zip code 68701	
USA	zip code 68845		USA		zip code 68845	USA	zip code 68845	
USA	zip code 85741		USA		zip code 85741	USA	zip code 85741	
USA	Pennington, Minnesota		USA	Minnesota	Pennington	USA	Pennington	Minnesota
USA	zip code 79936		USA		zip code 79936	USA	zip code 79936	
USA	Dakota, Minnesota		USA	Minnesota	Dakota	USA	Dakota	Minnesota
USA	zip code 48125		USA		zip code 48125	USA	zip code 48125	
USA	zip code 68144		USA		zip code 68144	USA	zip code 68144	
USA	Lyon, Minnesota		USA	Minnesota	Lyon	USA	Lyon	Minnesota
USA	Meeker, Minnesota		USA	Minnesota	Meeker	USA	Meeker	Minnesota
USA	New Mexico		USA	New Mexico		USA	New Mexico	
USA	Cortland Co., NY		USA	New York	Cortland Co.	USA	Cortland Co.	NY
USA	Queens Co., NY		USA	New York	Queens Co.	USA	Queens Co.	NY
USA	Rensselaer Co., NY		USA	New York	Rensselaer Co.	USA	Rensselaer Co.	NY
USA	Richmond Co., NY		USA	New York	Richmond Co.	USA	Richmond Co.	NY
USA	Encino,California		USA	California	Encino	USA	Encino	California
USA	Illinois, Rock Island		USA	Illinois	Rock Island	USA	Illinois	Rock Island County
USA	El Paso, Texas		USA	Texas	El Paso	USA	El Paso	Texas
USA	Mahnomen, Minnesota		USA	Minnesota	Mahnomen	USA	Mahnomen	Minnesota
USA	Stearns, Minnesota		USA	Minnesota	Stearns	USA	Stearns	Minnesota
USA	Kandiyohi, Minnesota		USA	Minnesota	Kandiyohi	USA	Kandiyohi	Minnesota
USA	Illinois, Saintclair		USA	Illinois	Saintclair	USA	Illinois	Saintclair
USA	Illinois, Kane		USA	Illinois	Kane	USA	Illinois	Kane County IL
USA	Illinois, Dupage		USA	Illinois	Dupage	USA	Illinois	Dupage County
USA	zip code 68137		USA		zip code 68137	USA	zip code 68137	
USA	CO, Weld County		USA	Colorado	Weld County	USA	CO	Weld County
USA	Ontario Co., NY		USA	New York	Ontario Co.	USA	Ontario Co.	NY
USA	zip code 68642		USA		zip code 68642	USA	zip code 68642	
USA	UT		USA	Utah		USA	UT	
USA	ID		USA	Idaho		USA	ID	
USA	Orleans Co., NY		USA	New York	Orleans Co.	USA	Orleans Co.	NY
USA	GA, Lawnder County		USA	Georgia	Lawnder County	USA	GA	Lawnder County
USA	Dickinson, Iowa		USA	Iowa	Dickinson	USA	Dickinson	Iowa
USA	zip code 90803		USA		zip code 90803	USA	zip code 90803	
USA	Montebello,California		USA	California	Montebello	USA	Montebello	California
USA	Cayuga Co., NY		USA	New York	Cayuga Co.	USA	Cayuga Co.	NY
USA	Illinois, Macoupin		USA	Illinois	Macoupin	USA	Illinois	Macoupin County
USA	Illinois, Grundy		USA	Illinois	Grundy	USA	Illinois	Grundy County IL
USA	Phoenix, Maricopa Co., AZ		USA	Arizona	Phoenix, Maricopa Co.	USA	Phoenix	Maricopa Co., AZ
USA	Parlier,California		USA	California	Parlier	USA	Parlier	California
USA	Illinois, Douglas		USA	Illinois	Douglas	USA	Illinois	Douglas County IL
USA	Montgomery Co., NY		USA	New York	Montgomery Co.	USA	Montgomery Co.	NY
USA	Illinois, Moultrie		USA	Illinois	Moultrie	USA	Illinois	Moultrie County IL
USA	New Orleans LA		USA	Louisiana	New Orleans	USA	New Orleans LA	
USA	GA, Garden City, Chatham		USA	Georgia	Garden City, Chatham	USA	GA	Garden City, Chatham
USA	GA, Savannah, Chatham		USA	Georgia	Savannah, Chatham	USA	GA	Savannah, Chatham
USA	GA, Norcross, Gwinnett		USA	Georgia	Norcross, Gwinnett	USA	GA	Norcross, Gwinnett
USA	Oklahoma City OK		USA	Oklahoma	Oklahoma City	USA	Oklahoma City OK	
USA	Clotho,California		USA	California	Clotho	USA	Clotho	California
USA	South Bend IN		USA	Indiana	South Bend	USA	South Bend IN	
USA	Benton, Oregon		USA	Oregon	Benton	USA	Benton	Oregon
USA	Essex Co., NY		USA	New York	Essex Co.	USA	Essex Co.	NY
USA	Chemung Co., NY		USA	New York	Chemung Co.	USA	Chemung Co.	NY
USA	Brown, Minnesota		USA	Minnesota	Brown	USA	Brown	Minnesota
USA	Redwood, Minnesota		USA	Minnesota	Redwood	USA	Redwood	Minnesota
USA	Benton, Minnesota		USA	Minnesota	Benton	USA	Benton	Minnesota
USA	Granada_Hills,California		USA	California	Granada_Hills	USA	Granada_Hills	California
USA	Winnetka,California		USA	California	Winnetka	USA	Winnetka	California
USA	Alta_Loma,California		USA	California	Alta_Loma	USA	Alta_Loma	California
USA	Texas, Harris County		USA	Texas	Harris County	USA	Texas	Harris County TX
USA	Oneida Co., NY		USA	New York	Oneida Co.	USA	Oneida Co.	NY
USA	Pope, Minnesota		USA	Minnesota	Pope	USA	Pope	Minnesota
USA	Stockton,California		USA	California	Stockton	USA	Stockton	California
USA	Illinois, Crawford		USA	Illinois	Crawford	USA	Illinois	Crawford County IL
USA	Steuben Co., NY		USA	New York	Steuben Co.	USA	Steuben Co.	NY
USA	Ceres,California		USA	California	Ceres	USA	Ceres	California
USA	Gilbert, Maricopa Co., AZ		USA	Arizona	Gilbert, Maricopa Co.	USA	Gilbert	Maricopa Co., AZ
USA	Glendale, Maricopa Co., AZ		USA	Arizona	Glendale, Maricopa Co.	USA	Glendale	Maricopa Co., AZ
USA	Gridley,California		USA	California	Gridley	USA	Gridley	California
USA	Stevens, Minnesota		USA	Minnesota	Stevens	USA	Stevens	Minnesota
USA	Tampa FL		USA	Florida	Tampa	USA	Tampa FL	
USA	Seneca Co., NY		USA	New York	Seneca Co.	USA	Seneca Co.	NY
USA	Cardiff,California		USA	California	Cardiff	USA	Cardiff	California
USA	New York NY		USA	New York	New York	USA	New York NY	
USA	Antioch,California		USA	California	Antioch	USA	Antioch	California
USA	La_Verne,California		USA	California	La_Verne	USA	La_Verne	California
USA	San_Andreas,California		USA	California	San_Andreas	USA	San_Andreas	California
USA	Redlands,California		USA	California	Redlands	USA	Redlands	California
USA	Alpine,California		USA	California	Alpine	USA	Alpine	California
USA	zip code 63137		USA		zip code 63137	USA	zip code 63137	
USA	zip code 63116		USA		zip code 63116	USA	zip code 63116	
USA	zip code 63044		USA		zip code 63044	USA	zip code 63044	
USA	zip code 63139		USA		zip code 63139	USA	zip code 63139	
USA	zip code 57701		USA		zip code 57701	USA	zip code 57701	
USA	Orlando FL		USA	Florida	Orlando	USA	Orlando FL	
USA	Gainsville FL		USA	Florida	Gainsville	USA	Gainsville FL	
USA	zip code 91745		USA		zip code 91745	USA	zip code 91745	
USA	Rochester MN		USA	Minnesota	Rochester	USA	Rochester MN	
USA	Agoura_Hills,California		USA	California	Agoura_Hills	USA	Agoura_Hills	California
USA	Denair,California		USA	California	Denair	USA	Denair	California
USA	Oroville,California		USA	California	Oroville	USA	Oroville	California
USA	zip code 58501		USA		zip code 58501	USA	zip code 58501	
USA	Indianapolis IN		USA	Indiana	Indianapolis	USA	Indianapolis IN	
USA	San Antonio TX		USA	Texas	San Antonio	USA	San Antonio TX	
USA	zip code 85712		USA		zip code 85712	USA	zip code 85712	
USA	Kansas City MO		USA	Missouri	Kansas City	USA	Kansas City MO	
USA	Glenview IL		USA	Illinois	Glenview	USA	Glenview IL	
USA	Bethlehem PA		USA	Pennsylvania	Bethlehem	USA	Bethlehem PA	
USA	zip code 85716		USA		zip code 85716	USA	zip code 85716	
USA	Milwalkee WI		USA	Wisconsin	Milwalkee	USA	Milwalkee WI	
USA	GA, Decatur, Dekalb County		USA	Georgia	Decatur, Dekalb County	USA	GA	Decatur, Dekalb County
USA	CO, Scarborough Forth Collins		USA	Colorado	Scarborough Forth Collins	USA	CO	Scarborough Forth Collins
USA	Davenport IA		USA	Iowa	Davenport	USA	Davenport IA	
USA	Solana_Beach,California		USA	California	Solana_Beach	USA	Solana_Beach	California
USA	Sultana,California		USA	California	Sultana	USA	Sultana	California
USA	zip code 58504		USA		zip code 58504	USA	zip code 58504	
USA	zip code 67070		USA		zip code 67070	USA	zip code 67070	
USA	Nicollet, Minnesota		USA	Minnesota	Nicollet	USA	Nicollet	Minnesota
USA	Otter Tail, Minnesota		USA	Minnesota	Otter Tail	USA	Otter Tail	Minnesota
USA	Illinois, Will		USA	Illinois	Will	USA	Illinois	Will County IL
USA	Waseca, Minnesota		USA	Minnesota	Waseca	USA	Waseca	Minnesota
USA	Steele, Minnesota		USA	Minnesota	Steele	USA	Steele	Minnesota
USA	Olmsted, Minnesota		USA	Minnesota	Olmsted	USA	Olmsted	Minnesota
USA	Wisconsin		USA	Wisconsin		USA	Wisconsin	
USA	Dallas TX		USA	Texas	Dallas	USA	Dallas TX	
USA	Fillmore, Minnesota		USA	Minnesota	Fillmore	USA	Fillmore	Minnesota
USA	Lubbock TX		USA	Texas	Lubbock	USA	Lubbock TX	
USA	Wasco,California		USA	California	Wasco	USA	Wasco	California
USA	Iowa		USA	Iowa		USA	Iowa	
USA	Schenectady Co., NY		USA	New York	Schenectady Co.	USA	Schenectady Co.	NY
USA	Rapid City, SD		USA	South Dakota	Rapid City	USA	Rapid City	SD
USA	Amarillo TX		USA	Texas	Amarillo	USA	Amarillo TX	
USA	Bismark ND		USA	North Dakota	Bismark	USA	Bismark ND	
USA	CO		USA	Colorado		USA	CO	
USA	San Bernardino, California		USA	California	San Bernardino	USA	San Bernardino	California
USA	Wyoming Co., NY		USA	New York	Wyoming Co.	USA	Wyoming Co.	NY
USA	Illinois, Vermilion		USA	Illinois	Vermilion	USA	Illinois	Vermilion County
USA	zip code 90249		USA		zip code 90249	USA	zip code 90249	
USA	zip code 92374		USA		zip code 92374	USA	zip code 92374	
USA	GA, Henry County		USA	Georgia	Henry County	USA	GA	Henry County
USA	GA, Chattron County		USA	Georgia	Chattron County	USA	GA	Chattron County
USA	CO, Wellington, Larimer County		USA	Colorado	Wellington, Larimer County	USA	CO	Wellington, Larimer County
USA	CO, Loveland, LarimerCounty		USA	Colorado	Loveland, LarimerCounty	USA	CO	Loveland, LarimerCounty
USA	Cattaraugus Co., NY		USA	New York	Cattaraugus Co.	USA	Cattaraugus Co.	NY
USA	Miami FL		USA	Florida	Miami	USA	Miami FL	
USA	Beltrami, Minnesota		USA	Minnesota	Beltrami	USA	Beltrami	Minnesota
USA	Herkimer Co., NY		USA	New York	Herkimer Co.	USA	Herkimer Co.	NY
USA	Renville, Minnesota		USA	Minnesota	Renville	USA	Renville	Minnesota
USA	Butte, California		USA	California	Butte	USA	Butte	California
USA	zip code 92313		USA		zip code 92313	USA	zip code 92313	
USA	Crow Wing, Minnesota		USA	Minnesota	Crow Wing	USA	Crow Wing	Minnesota
USA	zip code 91762		USA		zip code 91762	USA	zip code 91762	
USA	Elyria OH		USA	Ohio	Elyria	USA	Elyria OH	
USA	Carver, Minnesota		USA	Minnesota	Carver	USA	Carver	Minnesota
USA	Tyler TX		USA	Texas	Tyler	USA	Tyler TX	
USA	Saratoga Co., NY		USA	New York	Saratoga Co.	USA	Saratoga Co.	NY
USA	Minneapolis MN		USA	Minnesota	Minneapolis	USA	Minneapolis MN	
USA	Hinds County, Mississippi		USA	Mississippi	Hinds County	USA	Hinds County	Mississippi
USA	St. Tammany Parish, Louisiana		USA	Louisiana	St. Tammany Parish	USA	St. Tammany Parish	Louisiana
USA	DeKalb County, Georgia		USA	Georgia	DeKalb County	USA	DeKalb County	Georgia
USA	Del_Ray,California		USA	California	Del_Ray	USA	Del_Ray	California
USA	Laton,California		USA	California	Laton	USA	Laton	California
USA	Houston TX		USA	Texas	Houston	USA	Houston TX	
USA	Hanford,California		USA	California	Hanford	USA	Hanford	California
USA	GA, Valdasta, Lowndes		USA	Georgia	Valdasta, Lowndes	USA	GA	Valdasta, Lowndes
USA	La_Jolla,California		USA	California	La_Jolla	USA	La_Jolla	California
USA	Nobles, Minnesota		USA	Minnesota	Nobles	USA	Nobles	Minnesota
USA	Fulton Co., NY		USA	New York	Fulton Co.	USA	Fulton Co.	NY
USA	Illinois, Clinton		USA	Illinois	Clinton	USA	Illinois	Clinton County IL
USA	Big Stone, Minnesota		USA	Minnesota	Big Stone	USA	Big Stone	Minnesota
USA	GA, Atlanta, Fulton County		USA	Georgia	Atlanta, Fulton County	USA	GA	Atlanta, Fulton County
USA	Sioux City IA		USA	Iowa	Sioux City	USA	Sioux City IA	
USA	Jackson TN		USA	Tennessee	Jackson	USA	Jackson TN	
USA	Memphis TN		USA	Tennessee	Memphis	USA	Memphis TN	
USA	NY, Westchester		USA	New York	Westchester	USA	NY	Westchester
USA	NY, Albany		USA	New York	Albany	USA	NY	Albany
USA	Weschester Co., NY		USA	New York	Weschester Co.	USA	Weschester Co.	NY
USA	Sufolk Co., NY		USA	New York	Sufolk Co.	USA	Sufolk Co.	NY
USA	NY, Chautauqua		USA	New York	Chautauqua	USA	NY	Chautauqua
USA	Pine_Valley,California		USA	California	Pine_Valley	USA	Pine_Valley	California
USA	NY, Rockland		USA	New York	Rockland	USA	NY	Rockland
USA	Warren Co., NY		USA	New York	Warren Co.	USA	Warren Co.	NY
USA	Valley_Center,California		USA	California	Valley_Center	USA	Valley_Center	California
USA	NV		USA	Nevada		USA	NV	
USA	Cheyenne WY		USA	Wyoming	Cheyenne	USA	Cheyenne WY	
USA	Fallbrook,California		USA	California	Fallbrook	USA	Fallbrook	California
USA	Doyle,California		USA	California	Doyle	USA	Doyle	California
USA	Lincoln NE		USA	Nebraska	Lincoln	USA	Lincoln NE	
USA	Sioux Falls SD		USA	South Dakota	Sioux Falls	USA	Sioux Falls SD	
USA	El Paso TX		USA	Texas	El Paso	USA	El Paso TX	
USA	Thousand_Oaks,California		USA	California	Thousand_Oaks	USA	Thousand_Oaks	California
USA	Miami Florida		USA	Florida		USA	Miami Florida	
USA	Walnut_Creek,California		USA	California	Walnut_Creek	USA	Walnut_Creek	California
USA	Chautauqua Co., NY		USA	New York	Chautauqua Co.	USA	Chautauqua Co.	NY
USA	Kern, California		USA	California	Kern	USA	Kern	California
USA	GA, Fulton County		USA	Georgia	Fulton County	USA	GA	Fulton County
USA	GA, Muscogee County		USA	Georgia	Muscogee County	USA	GA	Muscogee County
USA	Roseville,California		USA	California	Roseville	USA	Roseville	California
USA	WY		USA	Wyoming		USA	WY	
USA	Plano, Collin Co., Texas		USA	Texas	Plano, Collin Co.	USA	Plano	Collin Co., Texas
USA	SD		USA	South Dakota		USA	SD	
USA	NM		USA	New Mexico		USA	NM	
USA	NE		USA	Nebraska		USA	NE	
USA	IL		USA	Illinois		USA	IL	
USA	Denton, Denton Co., Texas		USA	Texas	Denton, Denton Co.	USA	Denton	Denton Co., Texas
USA	ND		USA	North Dakota		USA	ND	
USA	CA		USA	California		USA	CA	
USA	LA		USA	Louisiana		USA	LA	
USA	Beverly_Hills,California		USA	California	Beverly_Hills	USA	Beverly_Hills	California
USA	Greenacres,California		USA	California	Greenacres	USA	Greenacres	California
USA	Northridge,California		USA	California	Northridge	USA	Northridge	California
USA	Houston, Harris Co., Texas		USA	Texas	Houston, Harris Co.	USA	Houston	Harris Co., Texas
USA	Katy, Harris Co., Texas		USA	Texas	Katy, Harris Co.	USA	Katy	Harris Co., Texas
USA	Harris Co., Texas		USA	Texas	Harris Co.	USA	Harris Co.	Texas
USA	Sierra_Madre,California		USA	California	Sierra_Madre	USA	Sierra_Madre	California
USA	Modesto,California		USA	California	Modesto	USA	Modesto	California
USA	Riverside,California		USA	California	Riverside	USA	Riverside	California
USA	Visalia,California		USA	California	Visalia	USA	Visalia	California
USA	Orange Co., NY		USA	New York	Orange Co.	USA	Orange Co.	NY
USA	South_Whittier,California		USA	California	South_Whittier	USA	South_Whittier	California
USA	Atwater,California		USA	California	Atwater	USA	Atwater	California
USA	Sanger,California		USA	California	Sanger	USA	Sanger	California
USA	Dos_Palos,California		USA	California	Dos_Palos	USA	Dos_Palos	California
USA	St. Lawrence Co., NY		USA	New York	St. Lawrence Co.	USA	St. Lawrence Co.	NY
USA	Kathy, Harris Co., TX		USA	Texas	Kathy, Harris Co.	USA	Kathy	Harris Co., TX
USA	Illinois, West Chicago suburbs		USA	Illinois	West Chicago suburbs	USA	Illinois	West Chicago suburbs
USA	MS		USA	Mississippi		USA	MS	
USA	Pasadena, Harris Co., Texas		USA	Texas	Pasadena, Harris Co.	USA	Pasadena	Harris Co., Texas
USA	Fort Collins, CO		USA	Colorado	Fort Collins	USA	Fort Collins	CO
USA	Madison Co., NY		USA	New York	Madison Co.	USA	Madison Co.	NY
USA	Harmony,California		USA	California	Harmony	USA	Harmony	California
USA	Van_Nuys,California		USA	California	Van_Nuys	USA	Van_Nuys	California
USA	Lemoore,California		USA	California	Lemoore	USA	Lemoore	California
USA	Houston, Harris Co., TX		USA	Texas	Houston, Harris Co.	USA	Houston	Harris Co., TX
USA	nan, Virgin Islands		USA	Virgin Islands, U.S.		USA		Virgin Islands
USA	Fremont,California		USA	California	Fremont	USA	Fremont	California
USA	Oasis,California		USA	California	Oasis	USA	Oasis	California
USA	Hillsborough, New Hampshire		USA	New Hampshire	Hillsborough	USA	Hillsborough	New Hampshire
USA	Cook, Illinois		USA	Illinois	Cook	USA	Cook	Illinois
USA	Cheshire, New Hampshire		USA	New Hampshire	Cheshire	USA	Cheshire	New Hampshire
USA	WBR, Louisiana		USA	Louisiana	WBR	USA	WBR	Louisiana
USA	Ascension, Louisiana		USA	Louisiana	Ascension	USA	Ascension	Louisiana
USA	Danville,California		USA	California	Danville	USA	Danville	California
USA	Colorado		USA	Colorado		USA	Colorado	
USA	EBR, Louisiana		USA	Louisiana	EBR	USA	EBR	Louisiana
USA	Collin Co. TX		USA	Texas	Collin Co.	USA	Collin Co. TX	
USA	Fairview, Collin Co., Texas		USA	Texas	Fairview, Collin Co.	USA	Fairview	Collin Co., Texas
USA	Ellis Co. TX		USA	Texas	Ellis Co.	USA	Ellis Co. TX	
USA	Paradise,California		USA	California	Paradise	USA	Paradise	California
USA	Redding,California		USA	California	Redding	USA	Redding	California
USA	Redondo,California		USA	California	Redondo	USA	Redondo	California
USA	Anderson,California		USA	California	Anderson	USA	Anderson	California
USA	Carlsbad,California		USA	California	Carlsbad	USA	Carlsbad	California
USA	West_Covina,California		USA	California	West_Covina	USA	West_Covina	California
USA	Yuba_City,California		USA	California	Yuba_City	USA	Yuba_City	California
USA	Lakeview,California		USA	California	Lakeview	USA	Lakeview	California
USA	Lake_Balboa,California		USA	California	Lake_Balboa	USA	Lake_Balboa	California
USA	Butte_Valley,California		USA	California	Butte_Valley	USA	Butte_Valley	California
USA	Erie County, NY		USA	New York	Erie County	USA	Erie County	NY
USA	Finley,California		USA	California	Finley	USA	Finley	California
USA	Albany Co., NY		USA	New York	Albany Co.	USA	Albany Co.	NY
USA	Tarrant Co. TX		USA	Texas	Tarrant Co.	USA	Tarrant Co. TX	
USA	Woodville,California		USA	California	Woodville	USA	Woodville	California
USA	Loomis,California		USA	California	Loomis	USA	Loomis	California
USA	Tangipahoa, Louisiana		USA	Louisiana	Tangipahoa	USA	Tangipahoa	Louisiana
USA	Williamson Co. TX		USA	Texas	Williamson Co.	USA	Williamson Co. TX	
USA	Del_Mar,California		USA	California	Del_Mar	USA	Del_Mar	California
USA	Oswego Co., NY		USA	New York	Oswego Co.	USA	Oswego Co.	NY
USA	Clearlake,California		USA	California	Clearlake	USA	Clearlake	California
USA	Glenn,California		USA	California	Glenn	USA	Glenn	California
USA	Livermore,California		USA	California	Livermore	USA	Livermore	California
USA	Earlimart,California		USA	California	Earlimart	USA	Earlimart	California
USA	Fort Bend Co. TX		USA	Texas	Fort Bend Co.	USA	Fort Bend Co. TX	
USA	Onondaga Co., NY		USA	New York	Onondaga Co.	USA	Onondaga Co.	NY
USA	El Paso Co. TX		USA	Texas	El Paso Co.	USA	El Paso Co. TX	
USA	NY, Broome		USA	New York	Broome	USA	NY	Broome
USA	Texas		USA	Texas		USA	Texas	
USA	Connecticut		USA	Connecticut		USA	Connecticut	
USA	Nassau Co., NY		USA	New York	Nassau Co.	USA	Nassau Co.	NY
USA	Chico,California		USA	California	Chico	USA	Chico	California
USA	Firebaugh,California		USA	California	Firebaugh	USA	Firebaugh	California
USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
USA	North_Lakeport,California		USA	California	North_Lakeport	USA	North_Lakeport	California
USA	San_Fernando,California		USA	California	San_Fernando	USA	San_Fernando	California
USA	Lemon_Grove,California		USA	California	Lemon_Grove	USA	Lemon_Grove	California
USA	Grant, Washington		USA	Washington	Grant	USA	Grant	Washington
USA	Franklin, Washington		USA	Washington	Franklin	USA	Franklin	Washington
USA	nan, Iowa		USA	Iowa		USA		Iowa
USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
USA	Kingsburg,California		USA	California	Kingsburg	USA	Kingsburg	California
USA	Turlock,California		USA	California	Turlock	USA	Turlock	California
USA	Erie Co., NY		USA	New York	Erie Co.	USA	Erie Co.	NY
USA	Martinez,California		USA	California	Martinez	USA	Martinez	California
USA	Dallas Co. TX		USA	Texas	Dallas Co.	USA	Dallas Co. TX	
USA	Montgomery Co. TX		USA	Texas	Montgomery Co.	USA	Montgomery Co. TX	
USA	Ontario,California		USA	California	Ontario	USA	Ontario	California
USA			USA			USA		
USA	Illinois		USA	Illinois		USA	Illinois	
USA	Fresno,California		USA	California	Fresno	USA	Fresno	California
USA	Chula_Vista,California		USA	California	Chula_Vista	USA	Chula_Vista	California
USA	AZ		USA	Arizona		USA	AZ	
USA	New York		USA	New York		USA	New York	
USA	Malheur, Oregon		USA	Oregon	Malheur	USA	Malheur	Oregon
USA	NY, Nassau		USA	New York	Nassau	USA	NY	Nassau
USA	NY, Clinton		USA	New York	Clinton	USA	NY	Clinton
USA	La_Mesa,California		USA	California	La_Mesa	USA	La_Mesa	California
USA	El_Cajon,California		USA	California	El_Cajon	USA	El_Cajon	California
USA	Bakersfield,California		USA	California	Bakersfield	USA	Bakersfield	California
USA	Travis Co. TX		USA	Texas	Travis Co.	USA	Travis Co. TX	
USA	GA, Dekalb County County		USA	Georgia	Dekalb County County	USA	GA	Dekalb County County
USA	GA, Wane County		USA	Georgia	Wane County	USA	GA	Wane County
USA	VA, Norfolk County		USA	Virginia	Norfolk County	USA	VA	Norfolk County
USA	National_City,California		USA	California	National_City	USA	National_City	California
USA	Lakeside,California		USA	California	Lakeside	USA	Lakeside	California
USA	OH		USA	Ohio		USA	OH	
USA	Ramona,California		USA	California	Ramona	USA	Ramona	California
USA	GA, Lowndes County		USA	Georgia	Lowndes County	USA	GA	Lowndes County
USA	Lancaster,California		USA	California	Lancaster	USA	Lancaster	California
USA	NY, Queens		USA	New York	Queens	USA	NY	Queens
USA	IN		USA	Indiana		USA	IN	
USA	Santee,California		USA	California	Santee	USA	Santee	California
USA	South_Gate,California		USA	California	South_Gate	USA	South_Gate	California
USA	Riverdale,California		USA	California	Riverdale	USA	Riverdale	California
USA	Rockland Co., NY		USA	New York	Rockland Co.	USA	Rockland Co.	NY
USA	Marysville,California		USA	California	Marysville	USA	Marysville	California
